Cancelled,Loan_Num,Accepted_Date,Default_Charge,Late_Charge,NSF_Charge,Premium,Down,AmtFin,FinChg,APR,Term,Mature_Date,Payments_Rcvd,Agent_ID,Borrower_ID,Borrower_State,Borrower_Zip,Agent_State,Exposure,Borrower_Category,Borrower_CreditScore,Borrower_EnrolledInEForms,Agent_RegisteredOnWeb,Agent_EnrolledInEForms,Agent_IntentEForm,Agent_CancelEForm,Agent_ReinstateEForm,Agent_PendingPolicyRequestEForm,Agent_ACHPaymentLetterEForm,Agent_RegisteredForCancelListReport,Agent_RegisteredForEimpendingReport,Agent_RecurringACHForm,Agent_EnrolledInCreditProgram,Agent_DownPaymentViaCC,Agent_DownPaymentViaACH,Borrower_RegisteredOnWeb,Borrower_DateRegisteredForWeb,Borrower_RegisteredForEForms,Borrower_DateRegisteredForEForms,Borrower_RegisteredForCancellationWarning,Borrower_DATERegisteredForCancellationWarning,Borrower_Classification,Borrower_SubTerm,Risk_Score,NoticeOfIntentToCancelDate,BankruptcyFlag,RecurringACH_TF
0,2A1D1E6B-1850-4D39-952F-893FA4BF7979,1/6/2015,0,0,0,2078,737,1341,113.94,19.95,9,10/12/2015,9,1,3035397,CA,92881-8459,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,1/12/2015,Services,General Other,NULL,NULL,NULL,0
0,F67191BC-B396-4476-9E59-3A679EA19DB7,1/23/2015,0,0,0,12033.18,3167,8866.18,438.52,10.65,10,11/16/2015,10,2,3018676,TX,77059-5531,TX,442.96,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,9/2/2014,Real Estate,General Other,NULL,NULL,NULL,0
0,A814D45F-C3CF-4C66-B052-E0DE6AB6FFF5,1/23/2015,0,0,0,13650.94,3655.73,9995.21,652.49,14,10,11/22/2015,10,3,3082787,TX,78577-6506,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,2/13/2015,Transportation,Trucking,NULL,NULL,NULL,0
0,1D390BF8-434E-4B06-9009-1B9712F92FC4,1/26/2015,0,0,0,8782,2533,6249,383.55,14.5,9,10/27/2015,9,4,3063216,NC,28217-3924,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Personal DBA,NULL,NULL,NULL,0
0,03766A6D-F74F-45D6-9348-A9C0880597F5,2/9/2015,0,25.45,30,1259,427.25,831.75,85.17,23.95,9,10/26/2015,9,5,3034473,TX,77429-2688,TX,0,NULL,NULL,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,4/25/2017,1,4/25/2017,Construction,General Construction,NULL,10/6/2015,NULL,0
0,58693911-39BA-4F01-A1DF-F90EE10FC9A9,2/11/2015,0,0,0,23561,7853.67,15707.33,466.8,8.85,7,8/28/2015,7,6,3083696,TX,75206,TX,1586.82,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Real Estate,Real Estate,NULL,3/5/2015,NULL,0
0,C448FA28-D4C7-4AA4-8E05-3F1410380A54,2/27/2015,0,0,0,11271.07,3061.52,8209.55,503.98,14.5,9,11/20/2015,2,7,3084481,TX,77979,TX,0,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Services,General Other,NULL,NULL,NULL,0
0,3EE430C6-D00E-4075-AAFE-DA276A518A50,3/2/2015,0,844.32,30,23838.02,6372.01,17466.01,1049.02,14,10,12/21/2015,10,8,3084516,TX,77545-8779,TX,1444.4,NULL,NS,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,1,3/4/2016,1,3/7/2016,Transportation,Trucking,NULL,12/31/2015,NULL,0
1,D6144FA7-B3F3-45B2-9AA4-297921960A4E,3/2/2015,0,15.69,0,4699.38,1203.98,3495.4,284.58,17.95,10,12/26/2015,1,9,3084530,TX,78577-8600,TX,124.58,NULL,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,Transportation,Trucking,NULL,5/6/2015,NULL,0
1,C24844D4-CB5B-4037-B093-4E43562AC606,3/18/2015,0,0,0,2843.37,907.34,1936.03,126.37,14,10,1/2/2016,2,10,3085413,TX,78584-1638,TX,7.43,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,0,NULL,General,Personal DBA,NULL,6/12/2015,NULL,0
0,94F0FBD9-019C-46BF-9BBE-F7DEA6E5516C,3/25/2015,0,0,0,7646,2229.5,5416.5,341.42,14,10,1/20/2016,10,11,3085785,TX,78557-3425,TX,13.02,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,4/28/2015,Services,General Services,NULL,NULL,NULL,0
0,E8CDF153-0E01-4D4F-92E5-C8201484A16A,3/27/2015,0,177.7,0,10846.35,3593.2,7253.15,405.84,14,10,1/23/2016,10,12,3085872,TX,78575-5268,TX,21.59,NULL,NULL,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,NULL,0,NULL,1,3/27/2015,Transportation,Trucking,NULL,2/2/2016,NULL,0
